#Wavelen [nm]	daylight_norm	photodiode	multiply
304.33	8.95E-04	0.11	9.54300E-05
305.78	9.09E-04	0.12	1.06439E-04
313	9.76E-04	0.13	1.30996E-04
323.1	1.07E-03	0.14	1.53185E-04
331.77	1.14E-03	0.15	1.68661E-04
340.43	1.22E-03	0.15	1.77894E-04
347.65	1.28E-03	0.14	1.78075E-04
351.99	1.31E-03	0.13	1.72476E-04
356.32	1.34E-03	0.13	1.69759E-04
360.65	1.38E-03	0.12	1.66573E-04
366.43	1.42E-03	0.12	1.67835E-04
376.53	1.48E-03	0.12	1.77800E-04
382.31	1.52E-03	0.13	1.90115E-04
382.31	1.52E-03	0.13	1.90115E-04
393.86	1.59E-03	0.13	2.10906E-04
409.75	1.66E-03	0.15	2.47552E-04
450.18	1.80E-03	0.19	3.45464E-04
493.5	1.85E-03	0.24	4.48074E-04
555.6	1.81E-03	0.31	5.68413E-04
640.79	1.62E-03	0.41	6.63945E-04
678.34	1.52E-03	0.45	6.84493E-04
715.88	1.42E-03	0.49	6.89612E-04
730.32	1.38E-03	0.5	6.84523E-04
741.88	1.34E-03	0.5	6.73928E-04
753.43	1.31E-03	0.51	6.63209E-04
766.43	1.28E-03	0.5	6.42012E-04
783.75	1.23E-03	0.5	6.10635E-04
793.86	1.20E-03	0.49	5.84780E-04
816.97	1.15E-03	0.46	5.27354E-04
841.52	1.08E-03	0.42	4.58024E-04
866.06	1.03E-03	0.38	3.84861E-04
881.95	9.90E-04	0.34	3.34812E-04
897.83	9.55E-04	0.3	2.87770E-04
923.83	9.00E-04	0.24	2.20292E-04
949.82	8.48E-04	0.19	1.62945E-04
974.37	8.02E-04	0.14	1.15007E-04
1003.25	7.51E-04	0.09	7.11143E-05
1019.13	7.24E-04	0.07	5.14369E-05
1035.02	6.98E-04	0.05	3.58287E-05
1050.9	6.73E-04	0.03	2.30388E-05
