#patm    pac   Rmax
4000.0    2000000.0   0.000151095
4000.0    4000000.0   0.000318147
4000.0    6000000.0   0.000469386
4000.0    8000000.0   0.000611644
4000.0    10000000.0   0.00074783
4000.0    12000000.0   0.000879139
4000.0    14000000.0   0.00100689
4000.0    16000000.0   0.00113133
4000.0    18000000.0   0.00125307
4000.0    20000000.0   0.0013724
4000.0    22000000.0   0.00148965
4000.0    24000000.0   0.00160506
4000.0    26000000.0   0.00171884
4000.0    28000000.0   0.00183101
4000.0    30000000.0   0.00194175
4000.0    32000000.0   0.00205139
4000.0    34000000.0   0.00215944
4000.0    36000000.0   0.00226677
4000.0    38000000.0   0.00237273
4000.0    40000000.0   0.00247801
4000.0    42000000.0   0.00258193
4000.0    44000000.0   0.00268501
4000.0    46000000.0   0.00278759
4000.0    48000000.0   0.00288925
4000.0    50000000.0   0.00299
4000.0    52000000.0   0.00308525
4000.0    54000000.0   0.00317852
4000.0    56000000.0   0.00327166
4000.0    58000000.0   0.0033682
4000.0    60000000.0   0.00345451
4000.0    62000000.0   0.00354197
4000.0    64000000.0   0.0036038
4000.0    66000000.0   0.00369929
4000.0    68000000.0   0.00375829
4000.0    70000000.0   0.00384853
4000.0    72000000.0   0.00395152
4000.0    74000000.0   0.0040021
4000.0    76000000.0   0.00407743
4000.0    78000000.0   0.00416764
4000.0    80000000.0   0.00420329
4000.0    82000000.0   0.00427839
4000.0    84000000.0   0.00434647
4000.0    86000000.0   0.00440903
4000.0    88000000.0   0.00446119
4000.0    90000000.0   0.00453125
4000.0    92000000.0   0.00460557
4000.0    94000000.0   0.00467232
4000.0    96000000.0   0.00473819
4000.0    98000000.0   0.0048143

6000.0    2000000.0   0.000125163
6000.0    4000000.0   0.000255504
6000.0    6000000.0   0.00037247
6000.0    8000000.0   0.000482229
6000.0    10000000.0   0.000587148
6000.0    12000000.0   0.000688274
6000.0    14000000.0   0.000786519
6000.0    16000000.0   0.000882327
6000.0    18000000.0   0.000975902
6000.0    20000000.0   0.0010678
6000.0    22000000.0   0.001158
6000.0    24000000.0   0.00124677
6000.0    26000000.0   0.00133422
6000.0    28000000.0   0.00142051
6000.0    30000000.0   0.00150568
6000.0    32000000.0   0.00158983
6000.0    34000000.0   0.00167313
6000.0    36000000.0   0.00175553
6000.0    38000000.0   0.00183705
6000.0    40000000.0   0.00191783
6000.0    42000000.0   0.0019979
6000.0    44000000.0   0.00207735
6000.0    46000000.0   0.00215586
6000.0    48000000.0   0.00223426
6000.0    50000000.0   0.00231181
6000.0    52000000.0   0.00238865
6000.0    54000000.0   0.00246522
6000.0    56000000.0   0.00254122
6000.0    58000000.0   0.00261675
6000.0    60000000.0   0.00269163
6000.0    62000000.0   0.0027662
6000.0    64000000.0   0.0028403
6000.0    66000000.0   0.00291392
