# the cases were examined from time 10e-6 to 1.0
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_of_maxU_liq    max_U_liq
3D_run141_alphar0.4_dstar0.3   0.0038   0.00015   0.000182     0.0004931484    0.405557434638   0.304168075979  8.967575941e-05      80.04592
3D_run141_alphar0.4_dstar0.4   0.0038   0.0002   0.000182     0.0004931484    0.405557434638   0.405557434638  9.048372024e-05      87.737032
3D_run141_alphar0.4_dstar0.5   0.0038   0.00025   0.000182     0.0004931484    0.405557434638   0.506946793298  9.015852118e-05      98.614168
3D_run141_alphar0.4_dstar0.6   0.0038   0.0003   0.000182     0.0004931484    0.405557434638   0.608336151958  9.060214522e-05      112.21897
3D_run141_alphar0.4_dstar0.7   0.0038   0.00035   0.000182     0.0004931484    0.405557434638   0.709725510617  9.119096232e-05      118.50485  #checked and is correct
3D_run141_alphar0.4_dstar0.8   0.0038   0.0004   0.000182     0.0004931484    0.405557434638   0.811114869277  9.081164742e-05      120.21247
3D_run141_alphar0.4_dstar0.9   0.0038   0.00045   0.000182     0.0004931484    0.405557434638   0.912504227936  9.034976656e-05      135.95799
3D_run141_alphar0.4_dstar1.1   0.0038   0.00055   0.000182     0.0004931484    0.405557434638   1.11528294526  9.079907875e-05      141.16796
3D_run141_alphar0.4_dstar1.3   0.0038   0.00065   0.000182     0.0004931484    0.405557434638   1.31806166257  9.242882487e-05      172.70086
3D_run141_alphar0.4_dstar1.5   0.0038   0.00075   0.000182     0.0004931484    0.405557434638   1.52084037989  9.158412796e-05      191.45647
3D_run141_alphar0.4_dstar1.65   0.0038   0.000825   0.000182     0.0004931484    0.405557434638   1.67292441788  9.095237487e-05      213.75105
3D_run141_alphar0.4_dstar1.8   0.0038   0.0009   0.000182     0.0004931484    0.405557434638   1.82500845587  9.039008327e-05      231.00535
3D_run141_alphar0.4_dstar2.0   0.0038   0.001   0.000182     0.0004931484    0.405557434638   2.02778717319  9.00126133e-05      265.9788     #checked and is correct
3D_run141_alphar0.4_dstar2.15   0.0038   0.001075   0.000182     0.0004931484    0.405557434638   2.17987121118  8.984591078e-05      343.58841
3D_run141_alphar0.4_dstar2.3   0.0038   0.00115   0.000182     0.0004931484    0.405557434638   2.33195524917  8.967166853e-05      411.59276

3D_run141_alphar1.2_dstar0.3   0.0034   0.00015   0.000182     0.0004931484    1.21667230392   0.304168075979  0.0001014193562      56.0       #automatic value after impact: 187.9437
3D_run141_alphar1.2_dstar0.4   0.0034   0.0002   0.000182     0.0004931484    1.21667230392   0.405557434638  9.603637758e-05      61.635532
3D_run141_alphar1.2_dstar0.5   0.0034   0.00025   0.000182     0.0004931484    1.21667230392   0.506946793298  9.440542254e-05      74.410005
3D_run141_alphar1.2_dstar0.6   0.0034   0.0003   0.000182     0.0004931484    1.21667230392   0.608336151958  9.292630516e-05      85.066548
3D_run141_alphar1.2_dstar0.7   0.0034   0.00035   0.000182     0.0004931484    1.21667230392   0.709725510617  9.209230792e-05      92.601656
3D_run141_alphar1.2_dstar0.8   0.0034   0.0004   0.000182     0.0004931484    1.21667230392   0.811114869277  9.227238446e-05      99.232341
3D_run141_alphar1.2_dstar0.9   0.0034   0.00045   0.000182     0.0004931484    1.21667230392   0.912504227936  9.189367027e-05      105.14472
3D_run141_alphar1.2_dstar1.1   0.0034   0.00055   0.000182     0.0004931484    1.21667230392   1.11528294526  9.161916482e-05      114.33826
3D_run141_alphar1.2_dstar1.3   0.0034   0.00065   0.000182     0.0004931484    1.21667230392   1.31806166257  9.184084688e-05      125.74618
3D_run141_alphar1.2_dstar1.5   0.0034   0.00075   0.000182     0.0004931484    1.21667230392   1.52084037989  9.158585059e-05      141.03457
3D_run141_alphar1.2_dstar1.65   0.0034   0.000825   0.000182     0.0004931484    1.21667230392   1.67292441788  9.235859244e-05      177.14034
3D_run141_alphar1.2_dstar1.8   0.0034   0.0009   0.000182     0.0004931484    1.21667230392   1.82500845587  9.149830595e-05      195.38057
3D_run141_alphar1.2_dstar2.0   0.0034   0.001   0.000182     0.0004931484    1.21667230392   2.02778717319  9.100244068e-05      234.80375
3D_run141_alphar1.2_dstar2.15   0.0034   0.001075   0.000182     0.0004931484    1.21667230392   2.17987121118  9.061287237e-05      285.25301
3D_run141_alphar1.2_dstar2.3   0.0034   0.00115   0.000182     0.0004931484    1.21667230392   2.33195524917  9.028107476e-05      361.1827

3D_run141_alphar2.0_dstar0.3   0.003   0.00015   0.000182     0.0004931484    2.02778717319   0.304168075979  92e-6               74.0          #automatic value: 0.0001033995965      246.13893
3D_run141_alphar2.0_dstar0.4   0.003   0.0002   0.000182     0.0004931484    2.02778717319   0.405557434638  9.762694432e-05      55.158838
3D_run141_alphar2.0_dstar0.5   0.003   0.00025   0.000182     0.0004931484    2.02778717319   0.506946793298  9.563656453e-05      67.610825
3D_run141_alphar2.0_dstar0.6   0.003   0.0003   0.000182     0.0004931484    2.02778717319   0.608336151958  9.422778378e-05      77.53752
3D_run141_alphar2.0_dstar0.7   0.003   0.00035   0.000182     0.0004931484    2.02778717319   0.709725510617  9.382729912e-05      85.84336
3D_run141_alphar2.0_dstar0.8   0.003   0.0004   0.000182     0.0004931484    2.02778717319   0.811114869277  9.32010055e-05      91.530801
3D_run141_alphar2.0_dstar0.9   0.003   0.00045   0.000182     0.0004931484    2.02778717319   0.912504227936  9.308878069e-05      96.57273
3D_run141_alphar2.0_dstar1.1   0.003   0.00055   0.000182     0.0004931484    2.02778717319   1.11528294526  9.257515434e-05      105.4147
3D_run141_alphar2.0_dstar1.3   0.003   0.00065   0.000182     0.0004931484    2.02778717319   1.31806166257  9.220195726e-05      114.82686
3D_run141_alphar2.0_dstar1.5   0.003   0.00075   0.000182     0.0004931484    2.02778717319   1.52084037989  9.202309848e-05      130.40767
3D_run141_alphar2.0_dstar1.65   0.003   0.000825   0.000182     0.0004931484    2.02778717319   1.67292441788  9.175834876e-05      139.27317
