#   Rstart=5e-07m
#   RdotStart=0m/s
#   Rn=5e-07m
#   deltaT=1e-10s
#   Tstart=0s
#   Tend=0.00014s
#   patm=101315Pa
#   pac=1.59e+07Pa
#   f=83300Hz
#   mu=0.001002Pa s
#   sigma=0.0725Pa m (I think)
#   BTait=3.05e+08Pa
#   nTait=7.15no unit
#   kappa=1.4
#   pv=2337Pa
#   rho0=998.206kg/m³
#   SpecGasConst=287J/molK
#   TempRef=293.15deg Celsius.
#   T0=0.01
#   Rn2=5e-07m
#   t1=0.0013s
#   t2=0.00135s
# 
#t[s]	r[m]	v[m/s]	dT [s]	pBubble[Pa]	p_ac[Pa]	Rn
0	5e-07	0	1e-10	391315	1.60013e+07	5e-07
3.38274e-11	4.99982e-07	-1.07364	3.40633e-11	391374	1.60003e+07	5e-07
6.78907e-11	4.99927e-07	-2.15274	3.3922e-11	391554	1.59994e+07	5e-07
1.01813e-10	4.99836e-07	-3.22566	3.38005e-11	391852	1.59984e+07	5e-07
1.35613e-10	4.99709e-07	-4.29334	3.36975e-11	392269	1.59974e+07	5e-07
1.69311e-10	4.99546e-07	-5.35668	3.36116e-11	392802	1.59964e+07	5e-07
2.02922e-10	4.99348e-07	-6.41654	3.3542e-11	393452	1.59955e+07	5e-07
2.36464e-10	4.99115e-07	-7.47372	3.34878e-11	394219	1.59945e+07	5e-07
2.69952e-10	4.98847e-07	-8.529	3.34484e-11	395104	1.59935e+07	5e-07
3.03401e-10	4.98544e-07	-9.58314	3.34236e-11	396108	1.59926e+07	5e-07
3.36824e-10	4.98206e-07	-10.6369	3.34129e-11	397231	1.59916e+07	5e-07
3.70237e-10	4.97833e-07	-11.691	3.34164e-11	398475	1.59906e+07	5e-07
4.03653e-10	4.97425e-07	-12.7462	3.34341e-11	399842	1.59897e+07	5e-07
4.37088e-10	4.96981e-07	-13.8032	3.34664e-11	401335	1.59887e+07	5e-07
4.70554e-10	4.96502e-07	-14.8627	3.35134e-11	402957	1.59877e+07	5e-07
5.04067e-10	4.95986e-07	-15.9256	3.3576e-11	404710	1.59868e+07	5e-07
5.37643e-10	4.95433e-07	-16.9927	3.36548e-11	406598	1.59858e+07	5e-07
5.71298e-10	4.94843e-07	-18.0647	3.37508e-11	408626	1.59848e+07	5e-07
6.05049e-10	4.94215e-07	-19.1426	3.38652e-11	410799	1.59838e+07	5e-07
6.38914e-10	4.93549e-07	-20.2273	3.39997e-11	413121	1.59829e+07	5e-07
6.72914e-10	4.92842e-07	-21.3198	3.4156e-11	415599	1.59819e+07	5e-07
7.0707e-10	4.92095e-07	-22.4211	3.43365e-11	418240	1.59809e+07	5e-07
7.41406e-10	4.91306e-07	-23.5325	3.45441e-11	421052	1.59799e+07	5e-07
7.7595e-10	4.90474e-07	-24.6552	3.47822e-11	424045	1.59789e+07	5e-07
8.10733e-10	4.89597e-07	-25.7907	3.50552e-11	427227	1.59779e+07	5e-07
8.45788e-10	4.88673e-07	-26.9407	3.53685e-11	430613	1.59769e+07	5e-07
