# the cases were examined with get_Tc.py
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_minvol
3D_run141_alphar0.4_dstar0.3   0.0038   0.00015   0.000182     0.0004931484    0.405557434638   0.304168075979  9.8539299e-05
3D_run141_alphar0.4_dstar0.4   0.0038   0.0002   0.000182     0.0004931484    0.405557434638   0.405557434638  9.8630116e-05
3D_run141_alphar0.4_dstar0.5   0.0038   0.00025   0.000182     0.0004931484    0.405557434638   0.506946793298  9.8560166e-05
3D_run141_alphar0.4_dstar0.6   0.0038   0.0003   0.000182     0.0004931484    0.405557434638   0.608336151958  9.8473564e-05
3D_run141_alphar0.4_dstar0.7   0.0038   0.00035   0.000182     0.0004931484    0.405557434638   0.709725510617  9.8618511e-05
3D_run141_alphar0.4_dstar0.8   0.0038   0.0004   0.000182     0.0004931484    0.405557434638   0.811114869277  9.8086134e-05
3D_run141_alphar0.4_dstar0.9   0.0038   0.00045   0.000182     0.0004931484    0.405557434638   0.912504227936  9.7175466e-05
3D_run141_alphar0.4_dstar1.1   0.0038   0.00055   0.000182     0.0004931484    0.405557434638   1.11528294526  9.4498541e-05
3D_run141_alphar0.4_dstar1.3   0.0038   0.00065   0.000182     0.0004931484    0.405557434638   1.31806166257  9.2651033e-05
3D_run141_alphar0.4_dstar1.5   0.0038   0.00075   0.000182     0.0004931484    0.405557434638   1.52084037989  9.1584128e-05
3D_run141_alphar0.4_dstar1.65   0.0038   0.000825   0.000182     0.0004931484    0.405557434638   1.67292441788  9.1122215e-05
3D_run141_alphar0.4_dstar1.8   0.0038   0.0009   0.000182     0.0004931484    0.405557434638   1.82500845587  9.0623511e-05
3D_run141_alphar0.4_dstar2.0   0.0038   0.001   0.000182     0.0004931484    0.405557434638   2.02778717319  9.0278762e-05
3D_run141_alphar0.4_dstar2.15   0.0038   0.001075   0.000182     0.0004931484    0.405557434638   2.17987121118  8.9983822e-05
3D_run141_alphar0.4_dstar2.3   0.0038   0.00115   0.000182     0.0004931484    0.405557434638   2.33195524917  8.9753853e-05
#3D_run141_alphar0.4_dstar2.5   0.0038   0.00125   0.000182     0.0004931484    0.405557434638   2.53473396649  8.9531859e-05
3D_run141_alphar1.2_dstar0.3   0.0034   0.00015   0.000182     0.0004931484    1.21667230392   0.304168075979  0.0001017932
3D_run141_alphar1.2_dstar0.4   0.0034   0.0002   0.000182     0.0004931484    1.21667230392   0.405557434638  0.00010189042
3D_run141_alphar1.2_dstar0.5   0.0034   0.00025   0.000182     0.0004931484    1.21667230392   0.506946793298  0.00010197853
3D_run141_alphar1.2_dstar0.6   0.0034   0.0003   0.000182     0.0004931484    1.21667230392   0.608336151958  0.00010193335
3D_run141_alphar1.2_dstar0.7   0.0034   0.00035   0.000182     0.0004931484    1.21667230392   0.709725510617  0.00010170755
3D_run141_alphar1.2_dstar0.8   0.0034   0.0004   0.000182     0.0004931484    1.21667230392   0.811114869277  0.00010108102
3D_run141_alphar1.2_dstar0.9   0.0034   0.00045   0.000182     0.0004931484    1.21667230392   0.912504227936  9.9942218e-05
3D_run141_alphar1.2_dstar1.1   0.0034   0.00055   0.000182     0.0004931484    1.21667230392   1.11528294526  9.7179201e-05
3D_run141_alphar1.2_dstar1.3   0.0034   0.00065   0.000182     0.0004931484    1.21667230392   1.31806166257  9.4692167e-05
3D_run141_alphar1.2_dstar1.5   0.0034   0.00075   0.000182     0.0004931484    1.21667230392   1.52084037989  9.3153181e-05
3D_run141_alphar1.2_dstar1.65   0.0034   0.000825   0.000182     0.0004931484    1.21667230392   1.67292441788  9.247805e-05
3D_run141_alphar1.2_dstar1.8   0.0034   0.0009   0.000182     0.0004931484    1.21667230392   1.82500845587  9.1683703e-05
3D_run141_alphar1.2_dstar2.0   0.0034   0.001   0.000182     0.0004931484    1.21667230392   2.02778717319  9.1041413e-05
3D_run141_alphar1.2_dstar2.15   0.0034   0.001075   0.000182     0.0004931484    1.21667230392   2.17987121118  9.0751417e-05
3D_run141_alphar1.2_dstar2.3   0.0034   0.00115   0.000182     0.0004931484    1.21667230392   2.33195524917  9.0394266e-05
#3D_run141_alphar1.2_dstar2.5   0.0034   0.00125   0.000182     0.0004931484    1.21667230392   2.53473396649  9.0056791e-05
3D_run141_alphar2.0_dstar0.3   0.003   0.00015   0.000182     0.0004931484    2.02778717319   0.304168075979  0.00010362018
3D_run141_alphar2.0_dstar0.4   0.003   0.0002   0.000182     0.0004931484    2.02778717319   0.405557434638  0.00010362564
3D_run141_alphar2.0_dstar0.5   0.003   0.00025   0.000182     0.0004931484    2.02778717319   0.506946793298  0.00010364313
3D_run141_alphar2.0_dstar0.6   0.003   0.0003   0.000182     0.0004931484    2.02778717319   0.608336151958  0.00010357537
3D_run141_alphar2.0_dstar0.7   0.003   0.00035   0.000182     0.0004931484    2.02778717319   0.709725510617  0.00010307614
3D_run141_alphar2.0_dstar0.8   0.003   0.0004   0.000182     0.0004931484    2.02778717319   0.811114869277  0.0001025871
3D_run141_alphar2.0_dstar0.9   0.003   0.00045   0.000182     0.0004931484    2.02778717319   0.912504227936  0.00010111411
3D_run141_alphar2.0_dstar1.1   0.003   0.00055   0.000182     0.0004931484    2.02778717319   1.11528294526  9.8190874e-05
3D_run141_alphar2.0_dstar1.3   0.003   0.00065   0.000182     0.0004931484    2.02778717319   1.31806166257  9.5868145e-05
3D_run141_alphar2.0_dstar1.5   0.003   0.00075   0.000182     0.0004931484    2.02778717319   1.52084037989  9.4193079e-05
3D_run141_alphar2.0_dstar1.65   0.003   0.000825   0.000182     0.0004931484    2.02778717319   1.67292441788  9.3451517e-05
3D_run141_alphar2.0_dstar1.8   0.003   0.0009   0.000182     0.0004931484    2.02778717319   1.82500845587  9.2532279e-05
3D_run141_alphar2.0_dstar2.0   0.003   0.001   0.000182     0.0004931484    2.02778717319   2.02778717319  9.1778788e-05
3D_run141_alphar2.0_dstar2.15   0.003   0.001075   0.000182     0.0004931484    2.02778717319   2.17987121118  9.1290128e-05
3D_run141_alphar2.0_dstar2.3   0.003   0.00115   0.000182     0.0004931484    2.02778717319   2.33195524917  9.1010255e-05
#3D_run141_alphar2.0_dstar2.5   0.003   0.00125   0.000182     0.0004931484    2.02778717319   2.53473396649  9.0597562e-05
3D_run141_alphar2.8_dstar0.3   0.0026   0.00015   0.000182     0.0004931484    2.83890204247   0.304168075979  0.00010437092
3D_run141_alphar2.8_dstar0.4   0.0026   0.0002   0.000182     0.0004931484    2.83890204247   0.405557434638  0.00010435148
3D_run141_alphar2.8_dstar0.5   0.0026   0.00025   0.000182     0.0004931484    2.83890204247   0.506946793298  0.00010436466
3D_run141_alphar2.8_dstar0.6   0.0026   0.0003   0.000182     0.0004931484    2.83890204247   0.608336151958  0.00010426093
3D_run141_alphar2.8_dstar0.7   0.0026   0.00035   0.000182     0.0004931484    2.83890204247   0.709725510617  0.0001037368
3D_run141_alphar2.8_dstar0.8   0.0026   0.0004   0.000182     0.0004931484    2.83890204247   0.811114869277  0.00010319757
3D_run141_alphar2.8_dstar0.9   0.0026   0.00045   0.000182     0.0004931484    2.83890204247   0.912504227936  0.00010175143
3D_run141_alphar2.8_dstar1.1   0.0026   0.00055   0.000182     0.0004931484    2.83890204247   1.11528294526  9.8836827e-05
3D_run141_alphar2.8_dstar1.3   0.0026   0.00065   0.000182     0.0004931484    2.83890204247   1.31806166257  9.6493907e-05
3D_run141_alphar2.8_dstar1.5   0.0026   0.00075   0.000182     0.0004931484    2.83890204247   1.52084037989  9.476667e-05
3D_run141_alphar2.8_dstar1.65   0.0026   0.000825   0.000182     0.0004931484    2.83890204247   1.67292441788  9.4017593e-05
3D_run141_alphar2.8_dstar1.8   0.0026   0.0009   0.000182     0.0004931484    2.83890204247   1.82500845587  9.3069532e-05
3D_run141_alphar2.8_dstar2.0   0.0026   0.001   0.000182     0.0004931484    2.83890204247   2.02778717319  9.2265225e-05
3D_run141_alphar2.8_dstar2.15   0.0026   0.001075   0.000182     0.0004931484    2.83890204247   2.17987121118  9.1718204e-05
3D_run141_alphar2.8_dstar2.3   0.0026   0.00115   0.000182     0.0004931484    2.83890204247   2.33195524917  9.1439076e-05
#3D_run141_alphar2.8_dstar2.5   0.0026   0.00125   0.000182     0.0004931484    2.83890204247   2.53473396649  9.0987522e-05
3D_run141_alphar3.6_dstar0.3   0.0022   0.00015   0.000182     0.0004931484    3.65001691175   0.304168075979  0.00010474768
3D_run141_alphar3.6_dstar0.4   0.0022   0.0002   0.000182     0.0004931484    3.65001691175   0.405557434638  0.00010475779
3D_run141_alphar3.6_dstar0.5   0.0022   0.00025   0.000182     0.0004931484    3.65001691175   0.506946793298  0.00010474187
3D_run141_alphar3.6_dstar0.6   0.0022   0.0003   0.000182     0.0004931484    3.65001691175   0.608336151958  0.00010461076
3D_run141_alphar3.6_dstar0.7   0.0022   0.00035   0.000182     0.0004931484    3.65001691175   0.709725510617  0.00010407413
3D_run141_alphar3.6_dstar0.8   0.0022   0.0004   0.000182     0.0004931484    3.65001691175   0.811114869277  0.00010351054
3D_run141_alphar3.6_dstar0.9   0.0022   0.00045   0.000182     0.0004931484    3.65001691175   0.912504227936  0.00010206955
3D_run141_alphar3.6_dstar1.1   0.0022   0.00055   0.000182     0.0004931484    3.65001691175   1.11528294526  9.9189042e-05
3D_run141_alphar3.6_dstar1.3   0.0022   0.00065   0.000182     0.0004931484    3.65001691175   1.31806166257  9.6835796e-05
3D_run141_alphar3.6_dstar1.5   0.0022   0.00075   0.000182     0.0004931484    3.65001691175   1.52084037989  9.5111521e-05
3D_run141_alphar3.6_dstar1.65   0.0022   0.000825   0.000182     0.0004931484    3.65001691175   1.67292441788  9.4348519e-05
3D_run141_alphar3.6_dstar1.8   0.0022   0.0009   0.000182     0.0004931484    3.65001691175   1.82500845587  9.3409647e-05
3D_run141_alphar3.6_dstar2.0   0.0022   0.001   0.000182     0.0004931484    3.65001691175   2.02778717319  9.2581542e-05
3D_run141_alphar3.6_dstar2.15   0.0022   0.001075   0.000182     0.0004931484    3.65001691175   2.17987121118  9.2002868e-05
3D_run141_alphar3.6_dstar2.3   0.0022   0.00115   0.000182     0.0004931484    3.65001691175   2.33195524917  9.1605033e-05
#3D_run141_alphar3.6_dstar2.5   0.0022   0.00125   0.000182     0.0004931484    3.65001691175   2.53473396649  
3D_run141_alphar4.3_dstar0.3   0.00185   0.00015   0.000182     0.0004931484    4.35974242236   0.304168075979  0.00010500375
3D_run141_alphar4.3_dstar0.5   0.00185   0.00025   0.000182     0.0004931484    4.35974242236   0.506946793298  0.00010486922
3D_run141_alphar4.3_dstar0.7   0.00185   0.00035   0.000182     0.0004931484    4.35974242236   0.709725510617  0.00010433634
3D_run141_alphar4.3_dstar0.9   0.00185   0.00045   0.000182     0.0004931484    4.35974242236   0.912504227936  0.0001023348
3D_run141_alphar4.3_dstar1.1   0.00185   0.00055   0.000182     0.0004931484    4.35974242236   1.11528294526  9.9406226e-05
3D_run141_alphar4.3_dstar1.3   0.00185   0.00065   0.000182     0.0004931484    4.35974242236   1.31806166257  9.7087283e-05
3D_run141_alphar4.3_dstar1.5   0.00185   0.00075   0.000182     0.0004931484    4.35974242236   1.52084037989  9.5374206e-05
3D_run141_alphar4.3_dstar1.65   0.00185   0.000825   0.000182     0.0004931484    4.35974242236   1.67292441788  9.4660793e-05
3D_run141_alphar4.3_dstar1.8   0.00185   0.0009   0.000182     0.0004931484    4.35974242236   1.82500845587  9.3672414e-05
3D_run141_alphar4.3_dstar2.0   0.00185   0.001   0.000182     0.0004931484    4.35974242236   2.02778717319  9.2848669e-05
3D_run141_alphar4.3_dstar2.15   0.00185   0.001075   0.000182     0.0004931484    4.35974242236   2.17987121118  9.2266557e-05
